,homeType,hasGarage,hasCooling,hasHeating,hasView,yearBuilt,latestPrice,latest_saleyear,lotSizeSqFt,livingAreaSqFt,numOfBathrooms,numOfBedrooms,numOfStories
131,Single Family,True,True,True,False,1994,519900.0,2020,6054.0,2766.0,3.0,4,2
132,Single Family,False,True,True,False,2019,341054.0,2019,5000.0,2643.0,3.0,4,2
133,Single Family,True,True,True,False,1984,428000.0,2019,8537.0,2576.0,3.0,3,2
134,Single Family,True,True,True,True,2005,185000.0,2018,4312.0,1203.0,2.0,3,1
135,Single Family,False,True,True,False,2008,415000.0,2018,10236.0,3257.0,4.0,5,2
136,Single Family,True,True,True,False,2013,299900.0,2020,6141.0,2505.0,3.0,4,2
137,Single Family,False,True,True,False,2009,249900.0,2018,6098.0,1659.0,3.0,3,2
138,Single Family,True,True,True,True,2006,725000.0,2019,19166.4,3486.0,4.0,4,2
139,Townhouse,True,True,True,False,2015,198000.0,2019,6098.0,1321.0,3.0,3,2
140,Single Family,True,True,True,True,1984,550000.0,2018,55321.2,2100.0,2.0,3,1
141,Single Family,False,True,True,False,1995,179900.0,2018,14374.8,1500.0,2.0,3,1
142,Condo,True,True,True,True,2000,355000.0,2020,8520.0,1616.0,3.0,3,2
143,Single Family,True,True,True,False,1993,310000.0,2020,6795.0,2046.0,2.0,4,1
144,Single Family,False,True,True,False,1987,155000.0,2018,6534.0,1411.0,2.0,3,1
145,Single Family,False,True,True,False,2004,189000.0,2019,4704.0,1892.0,3.0,3,2
146,Single Family,True,True,True,False,2007,1025000.0,2020,28749.6,4558.0,5.0,5,2
147,Single Family,True,True,True,False,2016,339900.0,2020,5488.0,2095.0,2.0,3,1
148,Single Family,True,True,True,True,2016,515000.0,2020,8363.0,2623.0,3.0,4,1
149,Single Family,True,True,True,False,1987,625000.0,2020,27442.8,1947.0,2.0,2,2
150,Single Family,False,True,True,False,2008,339900.0,2018,9757.0,2192.0,2.0,3,1
151,Single Family,True,True,True,False,2001,650000.0,2020,8319.0,3352.0,3.0,5,2
152,Single Family,True,True,True,True,2004,170000.0,2018,10541.0,1268.0,2.0,3,1
153,Single Family,True,True,True,True,2009,759900.0,2019,20908.8,4867.0,4.0,4,2
154,Single Family,True,True,True,False,1980,214500.0,2018,6490.0,1306.0,2.0,3,1
155,Single Family,False,True,True,False,1993,275000.0,2018,6272.0,2398.0,3.0,4,2
156,Single Family,False,True,True,True,2001,588000.0,2019,8276.0,4274.0,4.0,4,2
157,Condo,False,True,True,False,2010,174900.0,2018,2613.0,1372.0,3.0,3,1
158,Single Family,True,True,True,False,1999,937000.0,2020,36590.4,3695.0,4.0,4,2
159,Single Family,True,True,True,False,1983,595000.0,2019,9796.0,2448.0,2.0,4,2
160,Single Family,False,True,True,False,2013,169900.0,2018,5314.0,1250.0,3.0,2,2
161,Single Family,False,True,True,True,2009,625000.0,2019,7797.0,3485.0,4.0,5,2
162,Single Family,False,True,True,False,2006,235000.0,2019,9147.0,1526.0,2.0,3,1
163,Single Family,False,True,True,False,2017,359900.0,2019,6185.0,2124.0,2.0,3,1
164,Single Family,False,True,True,False,1992,350000.0,2019,7927.0,2965.0,3.0,4,2
165,Single Family,True,True,True,True,2008,449000.0,2019,7666.0,3205.0,4.0,5,2
166,Single Family,False,True,True,False,2008,1799000.0,2018,81021.6,5449.0,5.0,5,2
167,Single Family,True,True,True,False,1999,1499000.0,2020,53143.2,5099.0,5.0,5,2
168,Single Family,False,True,True,True,2018,425900.0,2019,5837.0,2403.0,3.0,3,1
169,Single Family,False,True,True,False,2001,595000.0,2019,13068.0,3939.0,4.0,5,2
170,Single Family,True,True,True,False,1976,625000.0,2020,16117.2,2116.0,3.0,3,1
171,Single Family,True,True,True,True,2013,729000.0,2020,10585.0,3409.0,3.0,4,1
172,Single Family,False,True,True,False,1998,993000.0,2018,43560.0,3848.0,4.0,5,2
173,Single Family,False,True,True,False,1987,199000.0,2018,5183.0,1786.0,2.0,4,1
174,Single Family,False,True,True,False,2018,365990.0,2019,6969.0,2289.0,3.0,3,1
175,Single Family,False,False,False,True,1975,240000.0,2018,16988.4,596.0,1.0,2,1
176,Mobile / Manufactured,True,True,True,False,1983,220000.0,2020,14810.4,1554.0,2.0,4,1
177,Single Family,True,True,True,False,2007,265000.0,2020,5662.0,1704.0,2.0,3,1
178,Single Family,True,True,True,False,1996,445000.0,2020,7013.0,2852.0,3.0,3,2
179,Single Family,True,True,True,False,2013,315000.0,2020,6098.0,2505.0,2.5,4,2
180,Single Family,False,True,True,False,2005,95000.0,2018,4486.0,2088.0,3.0,4,2
181,Single Family,True,True,True,False,2005,179900.0,2018,9234.0,1206.0,2.0,3,1
182,Single Family,False,True,True,False,1988,735000.0,2019,13939.2,3119.0,3.0,4,2
183,Single Family,True,True,True,True,2008,429900.0,2020,8145.0,2191.0,2.0,3,1
184,Single Family,True,True,True,True,2014,4100000.0,2020,172497.6,9866.0,10.0,6,2
185,Single Family,True,True,True,False,2003,66900.0,2018,5793.0,1160.0,2.0,3,1
186,Single Family,True,True,True,False,2018,385000.0,2020,6926.0,2420.0,3.0,4,2
187,Single Family,False,True,True,False,1987,195000.0,2018,5357.0,2094.0,3.0,4,2
188,Single Family,False,True,True,True,2006,1225000.0,2020,33976.8,5027.0,5.0,4,2
189,Single Family,False,True,True,False,2010,194900.0,2019,4748.0,1096.0,2.0,3,1
190,Single Family,True,True,True,True,2016,459990.0,2020,5662.0,2425.0,3.0,3,1
191,Single Family,True,True,True,False,1980,229900.0,2019,4617.0,1320.0,2.0,3,1
192,Single Family,True,True,True,False,2017,289000.0,2020,5998.0,1780.0,2.0,4,1
193,Single Family,False,True,True,True,2012,5474997.0,2019,116305.2,7740.0,8.0,6,2
194,Single Family,False,True,True,False,1999,1150000.0,2019,45302.4,4878.0,5.0,5,2
195,Single Family,True,True,True,True,1972,609900.0,2019,27007.2,2873.0,3.0,4,2
196,Single Family,True,True,True,False,2014,230000.0,2019,7535.0,1652.0,2.0,3,1
197,Single Family,True,True,True,False,2019,439000.0,2020,7405.0,2501.0,3.0,4,1
198,Single Family,False,True,True,False,2012,375000.0,2018,5837.0,2406.0,2.0,3,1
199,Single Family,True,True,True,False,1980,225000.0,2020,4617.0,1306.0,2.0,3,1
200,Single Family,True,True,True,True,2006,769000.0,2018,12196.8,4362.0,4.0,4,2
201,Single Family,False,True,True,False,1989,342000.0,2019,11325.6,1540.0,2.0,3,1
202,Single Family,True,True,True,True,1990,715000.0,2019,30927.6,2463.0,3.0,3,2
203,Single Family,False,True,True,False,1995,550000.0,2019,13503.6,2454.0,3.0,3,1
204,Single Family,False,True,True,False,2016,360000.0,2018,10890.0,1968.0,2.0,3,1
205,Single Family,True,True,True,False,2015,284900.0,2019,5488.0,1821.0,2.0,3,1
206,Mobile / Manufactured,True,True,True,True,1986,279900.0,2018,13068.0,1848.0,2.0,2,1
207,Single Family,True,True,True,False,1989,413900.0,2020,8712.0,2218.0,2.0,3,1
208,Single Family,True,True,True,False,2007,995000.0,2019,27007.2,3371.0,4.0,4,1
209,Townhouse,False,True,True,False,1983,415000.0,2019,4181.0,1555.0,2.0,3,1
210,Single Family,False,True,True,False,1994,585000.0,2018,11761.2,2647.0,3.0,4,2
211,Single Family,False,True,True,False,1976,750000.0,2020,14810.4,2373.0,3.0,4,1
212,Single Family,False,True,True,False,2015,279000.0,2018,4399.0,1914.0,3.0,3,2
213,Single Family,False,True,True,False,2005,210000.0,2019,4356.0,2088.0,3.0,4,2
214,Single Family,False,True,True,False,1991,369000.0,2019,7840.0,1861.0,2.0,3,1
215,Single Family,False,True,True,False,1971,329900.0,2019,9757.0,1567.0,2.0,4,1
216,Single Family,True,True,True,False,2012,205000.0,2018,7927.0,1344.0,2.0,3,1
217,Single Family,True,True,True,True,1994,789000.0,2021,12196.8,2410.0,3.0,4,1
218,Single Family,True,True,True,True,1983,649000.0,2019,50529.6,3227.0,4.0,5,1
219,Single Family,False,False,False,True,1982,150000.0,2018,13068.0,704.0,1.0,1,1
220,Single Family,False,True,True,False,2016,599000.0,2018,11761.2,3329.0,5.0,4,2
221,Single Family,False,True,True,False,2015,299999.0,2018,6011.0,2068.0,3.0,4,2
222,Single Family,False,True,True,False,2001,499800.0,2019,11761.2,3304.0,4.0,4,2
223,Single Family,False,True,True,False,2013,238999.0,2018,5749.0,1670.0,2.0,3,1
224,Single Family,True,True,True,False,1983,915000.0,2019,14374.8,2665.0,3.0,3,1
225,Single Family,True,True,True,True,2001,699000.0,2020,13939.2,4021.0,4.0,4,2
226,Single Family,True,True,True,False,2004,598000.0,2020,8842.0,3559.0,4.0,4,2
227,Single Family,False,True,True,False,1985,465000.0,2019,20908.8,2357.0,2.5,3,1
228,Single Family,True,True,True,False,2015,305000.0,2019,5445.0,1982.0,3.0,3,2
229,Single Family,True,True,True,True,2015,254000.0,2020,7026.0,2047.0,2.0,4,1
230,Single Family,True,True,True,True,2004,1299000.0,2019,54450.0,5307.0,5.0,4,3
231,Single Family,True,True,True,False,2002,579000.0,2020,9757.0,3976.0,4.0,5,2
232,Single Family,False,True,True,False,2017,289900.0,2019,32670.0,2100.0,3.0,4,1
233,Single Family,True,True,True,True,2009,379000.0,2018,8232.0,1943.0,2.0,4,1
234,Single Family,False,True,True,False,2012,649900.0,2018,9626.0,3689.0,4.0,4,2
235,Single Family,False,True,True,False,1972,525000.0,2019,13068.0,3650.0,4.0,4,2
236,Single Family,True,True,True,False,1985,359000.0,2020,9931.0,2498.0,3.0,4,2
237,Single Family,True,True,True,True,1990,1995000.0,2020,30056.4,4771.0,4.0,5,3
238,Single Family,False,True,True,True,1990,714900.0,2019,12196.8,2929.0,3.0,4,2
239,Single Family,False,True,True,True,2010,474997.0,2019,8276.0,3348.0,4.0,5,2
240,Single Family,False,True,True,False,2009,335000.0,2019,5662.0,1746.0,2.0,3,1
241,Single Family,False,True,True,False,1986,199950.0,2020,5532.0,1589.0,2.0,4,1
242,Single Family,True,True,True,False,2005,230000.0,2020,4791.0,1190.0,2.0,3,1
243,Condo,True,True,True,True,2013,405000.0,2020,6368.0,2299.0,3.0,4,2
244,Single Family,True,True,True,True,2012,1100000.0,2020,16552.8,4380.0,4.0,4,2
245,Single Family,False,True,True,False,1994,559500.0,2019,12196.8,2066.0,3.0,3,2
246,Single Family,True,True,True,False,2005,199000.0,2018,6534.0,1704.0,3.0,3,2
247,Single Family,True,True,True,False,2008,379900.0,2019,8276.0,2960.0,3.0,4,2
248,Single Family,True,True,True,True,2006,1400000.0,2020,11761.2,4500.0,5.0,5,2
249,Single Family,False,True,False,False,2013,194000.0,2020,5314.0,1250.0,2.5,2,2
250,Single Family,False,True,True,True,1997,330000.0,2019,7000.0,2084.0,3.0,3,2
251,Single Family,True,True,True,True,2009,1050000.0,2019,19166.4,4743.0,5.0,5,2
252,Single Family,True,True,True,True,2001,2650000.0,2020,129373.2,5921.0,5.0,5,1
253,Single Family,True,True,True,True,1987,157000.0,2018,5140.0,1419.0,2.0,3,1
254,Single Family,True,True,True,False,2020,335269.0,2020,4791.0,1753.0,3.0,3,2
255,Single Family,True,True,True,False,2007,535000.0,2020,7405.0,3297.0,4.0,4,2
256,Single Family,True,True,True,True,2000,1589000.0,2018,33976.8,4637.0,4.0,4,2
257,Single Family,False,True,True,False,2006,399000.0,2018,14810.4,1649.0,2.0,3,1
258,Single Family,True,False,False,False,2020,505847.0,2020,8398.0,2766.0,3.0,4,1
259,Single Family,True,True,True,False,1984,574887.0,2020,13939.2,2698.0,3.0,4,2
260,Single Family,True,True,True,True,2002,1695000.0,2020,102366.0,4407.0,6.0,4,2
261,Single Family,True,True,True,False,1995,1200000.0,2019,11761.2,2731.0,4.0,3,2
262,Single Family,False,True,True,False,2015,249000.0,2019,4399.0,1448.0,2.0,3,1
263,Single Family,True,True,True,False,2018,310000.0,2021,5662.0,1370.0,2.0,3,1
264,Single Family,True,True,True,True,2012,750000.0,2020,13939.2,4056.0,4.0,4,1
265,Single Family,False,True,True,False,1982,869999.0,2020,16117.2,3542.0,4.0,4,1
266,Single Family,False,True,True,True,2007,825000.0,2018,22651.2,4631.0,5.0,5,2
267,Single Family,True,True,True,False,1980,475000.0,2020,5052.0,1490.0,2.0,3,1
268,Single Family,True,True,True,True,2014,239000.0,2018,4617.0,1510.0,2.0,3,1
269,Single Family,False,True,True,True,1998,1499000.0,2018,47044.8,4707.0,6.0,5,2
270,Single Family,True,True,True,True,2002,2490000.0,2018,85377.59999999999,4147.0,4.0,4,1
271,Single Family,True,True,True,True,2012,131860.0,2019,8799.0,1598.0,3.0,3,2
272,Single Family,False,True,True,False,2016,395000.0,2020,6534.0,2515.0,3.0,4,2
273,Mobile / Manufactured,False,True,True,False,2000,129900.0,2018,14810.4,2304.0,2.0,4,1
274,Single Family,True,True,True,False,2010,615000.0,2020,8842.0,3458.0,4.0,4,2
275,Single Family,True,True,True,True,2017,557000.0,2020,14810.4,3013.0,4.0,4,2
276,Single Family,True,True,True,False,2000,975000.0,2018,54885.6,4620.0,4.0,5,2
277,Single Family,False,True,True,False,2006,1399900.0,2018,70567.20000000001,5742.0,4.0,4,2
278,Single Family,False,True,True,False,2015,200000.0,2020,3571.0,1321.0,3.0,3,2
279,Single Family,True,True,True,False,1987,2750000.0,2020,69260.40000000001,6392.0,6.5,4,2
280,Single Family,True,True,True,True,1965,599500.0,2019,41817.6,986.0,1.0,2,2
281,Single Family,False,True,True,True,1994,450000.0,2019,3397.0,2137.0,2.0,3,2
282,Single Family,False,True,True,False,2016,349000.0,2019,6272.0,2073.0,3.0,3,2
283,Single Family,True,True,True,True,1990,1325000.0,2019,23086.800000000007,4142.0,4.0,4,2
284,Single Family,False,True,True,False,1972,550000.0,2019,12196.8,2581.0,2.0,4,1
285,Single Family,False,True,True,False,2016,217500.0,2019,7230.0,1405.0,2.0,3,1
286,Single Family,True,True,True,True,2006,865000.0,2020,11761.2,2895.0,3.0,3,3
287,Single Family,False,True,True,False,1994,565000.0,2018,13503.6,2648.0,3.0,4,2
288,Single Family,False,True,True,False,1999,899900.0,2018,25264.8,3958.0,4.0,4,2
289,Single Family,True,False,False,False,2019,336990.0,2019,7461.0,2814.0,3.0,4,2
290,Single Family,True,True,True,True,1985,8999000.0,2020,87120.0,7745.0,8.0,7,2
291,Single Family,False,True,True,False,2009,219900.0,2018,5662.0,1730.0,3.0,3,2
292,Single Family,False,True,True,False,2018,338900.0,2019,5967.0,2177.0,3.0,4,2
293,Single Family,True,True,True,True,1985,545000.0,2020,12632.4,2338.0,2.0,3,2
294,Single Family,True,True,True,False,2013,161940.0,2019,5227.0,1452.0,2.0,3,1
295,Single Family,True,True,True,False,2008,133000.0,2019,9147.0,1762.0,2.0,4,1
296,Single Family,True,True,True,True,1991,549500.0,2020,21780.0,2162.0,3.0,3,2
297,Single Family,False,False,False,False,2007,885000.0,2019,11325.6,3436.0,3.0,4,2
298,Single Family,True,True,True,False,1984,798500.0,2020,9452.0,2927.0,4.0,4,2
299,Single Family,True,True,True,True,2017,249900.0,2019,6211.0,1582.0,2.0,3,1
300,Single Family,True,True,True,False,2002,400000.0,2018,10149.0,3254.0,3.0,5,1
301,Single Family,False,True,True,False,1999,1999000.0,2019,31363.2,5576.0,7.0,5,2
302,Single Family,True,True,True,False,2009,217000.0,2018,6141.0,1776.0,3.0,5,2
303,Single Family,True,True,True,False,2007,700000.0,2018,12632.4,4952.0,4.0,4,2
304,Mobile / Manufactured,True,True,True,False,2020,849900.0,2020,11761.2,1850.0,2.0,3,1
305,Single Family,False,True,True,False,1962,535000.0,2019,16117.2,1707.0,2.0,3,1
306,Single Family,False,True,True,True,1987,450000.0,2018,40946.4,2667.0,3.0,3,2
307,Single Family,False,True,True,True,2013,304000.0,2020,6229.0,2486.0,3.0,3,2
308,Single Family,False,True,True,False,1999,1400000.0,2018,42253.2,5234.0,5.0,5,3
309,Single Family,False,True,True,False,2002,480000.0,2018,9365.0,3282.0,3.0,4,2
